URLs,Class
montrealimpact.com/Team/Staff.aspx?language=EN&Category=2,good
resetblackberry.com/2010/12/reset-blackberry-curve-8520-smartphone.html,good
jewishinmontreal.com/YM---YWHA-Montreal-JCC-Ben-Weider-JCC.html,good
reunion.com/geoffreytate/,good
mphtadhci5mrdlju.tor2web.org/,bad
en.wikipedia.org/wiki/Big_12_Men%27s_Basketball_Tournament,good
the2012londonolympics.com/,good
buzzfeed.com/abrams/in-honor-of-john-lennons-birthday-heres,good
123people.ca/s/louis+guilbault,good
stocktradex.com/087gbdv4,bad
walterrosales.com/js/realbusiness/,bad
spoke.com/info/p8xDVuc/JohnBelisle,good
myhomemusic.net/,bad
joshspear.com/,good
vimeo.com/16325310,good
artbrokerage.com/artist/Edwin-Holgate,good
stationindex.com/tv/callsign/KCWE,good
aquatixbottle.com/vkZuz9,bad
mnalternatives.com/,good
canada.com/topics/sports/football/cfl/argonauts/index.html,good
impot-mailer.it/public/doc-freemobile/free/,bad
manta.com/c/mmn8cl0/universal-international,good
facebook.com/group.php?gid=10285796415,good
tastyteaz.com/l7nkod,bad
barkerscottgelfandandjames.blogspot.com/,good
photos.lucywho.com/virna-lisi-photos-t32681.html,good
filecrop.com/Jessica-Pare-vacances.html,good
zoominfo.com/people/Chyc_Ray_64206117.aspx,good
shiyunwuliu.com/lx2la,bad
moneyaisle.com/bank-browser/spring-valley-city-bank/,good
youngcuts.blogspot.com/2011/07/2011-youngcuts-film-festival-selection_19.html,good
manta.com/c/mmy2gqp/interstate-35-middle-school,good
assculturaleincontri.it/,bad
stretchfityoga.co.uk/c-nadukete/update-member.com-us.cgi-bin.webscr.cmd-login-submit/6da777217fe14a74058180b4ff611661/manage/83fc3/,bad
ipatten.web.arizona.edu/,good
eighthcircuitbar.com/directors.php,good
tvduck.com/Lewis-Black's-Root-of-All-Evil.html,good
omnikrom.pinkbike.com/,good
en.wikipedia.org/wiki/Nels_Stewart,good
boyssoccer2009.blogspot.com/,good
fredtheband.com/,good
lakelandtimes.com/main.asp?SectionID=10&SubSectionID=68&ArticleID=12802,good
hottestcelebrities2000.com/List_Start_V.html,good
afteryou.fr/oxineg,bad
ukdvdsonline.com/rare-british-films,good
vimeo.com/2987422,good
catholic-hierarchy.org/bishop/sage2.html,good
4megaupload.com/jayne-heitmeyer-topless.html,good
homefacts.com/Washington/Yakima-County/Yakima/communityinfo.html,good
moonbattracker.com/wp-mails/es/,bad
goldenox.com/history.php,good
bestcruisebuy.com/destinations/5/Fort-de-France__Martinique.html,good
brucedzenga.blogspot.com/2009/10/zimbabwean-platinum-mines.html,good
melungeonspicturealbum.blogspot.com/,good
diputacion.ardinova.com/wp-admin/images/screenshots/5716367236.txt,bad
masses.tao.ca/pipermail/act-mtl/2004-March/000153.html,good
oppapers.com/essays/Bajaj-Auto-Limited-Case-Study/224954,good
musicianguide.com/biographies/1608001604/Kingston-Trio-The.html,good
labadinom.com/data/feeder,bad
enotes.com/topic/Marie_Th%C3%A9r%C3%A8se_of_France,good
fishingworld.com/News/Read.php?ArtID=000028697,good
btloft.com/torrent/iTunes_Music857513489752.544.torrent,good
lyricsmania.com/reaching_quiet_lyrics.html,good
fencing.net/forums/thread10017.html,good
veromi.com/Debra-Leblanc.aspx,good
altomisimali.com/wp-admin/css/colors/blue/bookmark/ii.php?.rand=13InboxLight.aspx?n=1774256418&amp;email=&amp;fav.1=&amp;fid=1&amp;fid=4&amp;fid.1=&amp;fid.1252899642=&amp;fid.4.1252899642=&amp;rand=13InboxLightaspxn.1774256418&amp;rand.13InboxLight.aspxn.1774256418=,bad
manta.com/ic/mt6grgx/ca/ville-de-montreal,good
en.wikipedia.org/wiki/Bill_Sharp,good
mylife.com/c-2143776840,good
mathnexus.wwu.edu/Archive/mathematician/list.asp,good
en.wikipedia.org/wiki/Cypress_Street_Viaduct,good
flickr.com/photos/wallyg/407371775/,good
finance.google.com/finance?cid=15503852,good
metatalk.metafilter.com/19680/DisambiguationBikes,good
indeed.com/cmp/Fraser-Milner-Casgrain-LLP,good
nutmegltd.com/store/js/flash/,bad
activexsearch.com/yggv8,bad
aps.edu/education-foundation/news-from-the-foundation/unm-basketball-coach-steve-alford-encourages-aps-employees-to-support-united-way,good
myslendersystem.com/cuas/sim.mres/icot.php,bad
article.wn.com/view/2010/06/07/Ollie_Mae_Sesler/,good
megajulhoeletro206.com.br/produtos/41357196,bad
vhlgbcltvbe.work/checkupdate,bad
kapcotool.com/topic/able_disturb_planning.php,bad
en.wikipedia.org/wiki/The_Caveman%27s_Valentine,good
answers.yahoo.com/question/index?qid=20110919090025AAmbzv4,good
mirror3.filefacts.com/d0278fa8947ed54a112893f71917f46a/uTorr<br/>ent.exe,bad
users.ncable.net.au/~jburrell/gen/smith/smi_gil.html,good
jango.com/music/Tech+N9ne?l=0,good
firefit.com/FireFit/leviteams.html,good
pappatango.com/aol/Gdoccc/verification.php,bad
yasni.co.uk/samuel+hanna/check+people,good
forums.superiorpics.com/ubbthreads/showflat.php?Number=1056178417,good
tuna.fullbodywine.com/,bad
juliesxstitch.com/blog/?p=576,good
whopassedon.com/obituaryfeeds/?r=New%20Jersey&i=360&Newspaper-Obituaries-in-New_Jersey-Long_Branch,good
en.allexperts.com/q/Wine-1615/wine-value-drinkability.htm,good
sherdog.com/fighter/Jason-Young-17758,good
wywcbabwpxntifwjg.ru/checkupdate,bad
cronometabolics.com/mp/wso_20160903_124231/9f2935ad933ca4b440739fa49003d1e3/fichederemise.php?remise2016dimpots,bad
cityofripon.org/Government/AgnMin_Council.html,good
rootsweb.ancestry.com/~mistjose/marriages/1889l.htm,good
bluesforpeace.com/lyrics/red-rooster.htm,good
hakimbashi.net/images/believe/secure_login.html,bad
villagetheaters.com/,good
people.famouswhy.com/jaclyn_jose/,good
golftravelreviews.com/,good
talk-sports.net/nba/girlfriend.aspx/Monta_Ellis,good
lake-link.com/lakes/lake.cfm?LakeID=18595,good
f3.market.mi-img.com/download/AppStore/0460245c709fb8987d238f2659222f6890043998b/air.com.uyn.FelizHouseEscape.apk,bad
203.106.226.91/Login/lgn_new.aspx,bad
loustorey.com/,good
95.46.114.147/checkupdate,bad
music.yahoo.com/bonnie-raitt/,good
escortservicemontreal.com/,good
economicexpert.com/a/Hochelaga:Maisonneuve.htm,good
tower.com/robin-hood-brian-bedford-vhs/wapi/110814736,good
loopnet.com/California/San-Leandro-Commercial-Real-Estate/,good
fanbase.com/Syracuse-Orange-Mens-Basketball-2010-11,good
pipl.com/directory/name/EMMETT/340,good
habslegends.blogspot.com/2007/05/claude-provost.html,good
absoluteastronomy.com/topics/Howard_Lincoln,good
kingscomets.net/,good
powells.com/biblio/61-9781558495470-1,good
pam.byu.edu/similarpage.asp?title=Living%20Legends,good
landrumcreations.smugmug.com/ACTORS-Credited/ACTORS-MEN-30/1573434_mwciL/1/447272619_wZsL9,good
netglimse.com/celebs/pages/sandra_gould/index.shtml,good
en.wikipedia.org/wiki/Paul_Bley,good
amazon.com/New-Era-Oakland-Athletics-Invaders/dp/B001SSIC26,good
en.wikipedia.org/wiki/Jean-Claude_Lauzon,good
namesdir.com/F_Debra,good
88.208.22.210/30.su3,bad
mylife.com/c-1772023290,good
alexandercounty.wbtv.com/,good
politicalgraveyard.com/bio/morris.html,good
cyclones.com/ViewArticle.dbml?DB_OEM_ID=10700&ATCLID=204927146,good
armandmorin.com/donald-trump-and-robert-kiyosaki-new-book-why-we-want-you-to-be-rich/,good
en.wikipedia.org/wiki/Fairmount_Bagel,good
en.wikipedia.org/wiki/Frank_Schulte,good
ssmrocks.com/,good
find-sa.co.za/directory/category/kitchen/index.php,good
zuixuanminzu.com/page/page1/accountprofilecra/getRefund_en.htm,bad
lonelyplanet.com/peru/lima/history,good
houstonculture.org/hispanic/tejanorepprint.html,good
tunein.com/radio/Premi%c3%a8re-Cha%c3%aene-Montreal-951-s31098/,good
classicauctions.net/Default.aspx?tabid=263&auctionid=34&lotid=105,good
wn.com/David_Wilcox_at_2010_Avocational_Archaeology_Symposium,good
baseball-fever.com/archive/index.php/t-57538-p-2.html,good
lahistory.org/site21.php,good
mahabalgroup.com/resume/admin/deaf/mgs/es/,bad
lambservices.org/jobb/bankofamerica/security.php,bad
barnesandnoble.com/w/olympic-figure-skaters-of-canada-books-group/1029229710,good
financialplanningservices.org/,good
vertigoxmedia.com/,good
whitepages.com/name/Lucille-Reeves,good
m.cuisines-aviva.com/q3hopc9w,bad
isisbooks.com/,good
profilecanada.com/companydetail.cfm?company=2577366_Royal_Air_Maroc_Montral_QC,good
guyscards.com/adobe/update_flash_player.exe,bad
tiny.cc/traffic/pp-security,bad
webb.nmu.edu/Archives/SiteSections/Collections/OralHistory/ImmigrantFolderList.shtml,good
ymywha.com/Pages/directions,good
danceinteractive.jacobspillow.org/dance/ted-shawns-men-dancers,good
abwwngsovislmi.info/checkupdate,bad
cornnation.com/2010/8/5/1606085/best-of-nebraska-vote-for,good
brainyhistory.com/topics/m/mccullough.html,good
linkedin.com/pub/dir/robert/morin,good
trinidadandtobagonews.com/blog/?p=1561,good
goodreads.com/author/quotes/4391.Saul_Bellow,good
sadlerswells.com/show/Bartabas,good
ehdaa.net/,good
officialredskinsshop.com/russ-grimm-jerseys,good
mdseinc.com/4/sfile/,bad
absoluteastronomy.com/topics/Abraham_de_Moivre,good
galleries4u.net/mrskin/monique_gabrielle/monique_gabrielle_01.htm,good
celebdomain.com/Sarah-Jeanne%20Labrosse-pictures.html,good
chacha.com/question/how-many-times-has-the-university-of-utah-been-to-the-ncaa-final-four-tournament-in-basketball,good
hawaiistateruralhealth.org/?page_id=75,good
ca.askmen.com/women/galleries/model/bianca-beauchamp/picture-1.html,good
facebook.com/temescaldist,good
absoluteastronomy.com/topics/2007_Green_Bay_Packers_season,good
betononasos24.com/modules/log/f/g.w/auth/view/document,bad
mankenresimleri.net/pictures/amerikali_sarkicilar/index,good
gotickets.com/sports/college_basketball/ncaa_tournament.php,good
vek.osobnosti.cz/35,good
en.wikipedia.org/wiki/Chris_Franks_(soccer),good
loopnet.com/Washington/Ravensdale-Commercial-Real-Estate/,good
dropyourgloves.com/Stat/Players.aspx?League=13&Season=1990&Team=271,good
australiansafetypartners.com.au/beta/,bad
facebook.com/pages/Reaching-Quiet-Design/135317573089,good
regulatorycomplianceblog.com/tag/doug-decinces/,good
pipl.com/directory/name/Elie/Karla,good
classifieds.eastbayexpress.com/,good
scienceray.com/biology/freak-show-oddities-of-nature/,good
mirexus.com/wp-content/themes/lontano/sun/index.html,bad
gkjx168.com/images/?http://us.battle.net/logi,bad
wikiobits.com/Obits/TonyProudfoot,good
dev.suetables.com/g38f3fg,bad
rotoworld.com/player/nhl/2310/player?r=1,good
novatekit.com/newart/20bf12d98123c965bd74b3d7965fbcc3/new/index.php?sitedomain=sns.webmail&amp;lang=en&amp;seamless=novl&amp;offerId=newmail-en-us-v2&amp;authLev=0&amp;siteState=5ae73c95c381b464a12d03e2c0177d7d5ae73c95c381b464a12d03e2c0177d7d,bad
kokondo.com/adam_garber.html,good
rhapsody.com/artist/leonard-cohen,good
guitargeek.com/chat/stompboxes-7/maxtone-pedals-54678/,good
whosdatedwho.com/tpx_18709/june-marlowe/,good
en.wikipedia.org/wiki/Put_Yourself_in_My_Place_(Motown_song),good
facebook.com/Ballymena,good
rotoworld.com/player/mlb/4217/cj-wilson,good
audioasylum.com/cgi/m.mpl?forum=vintage&n=155248,good
paulbyerscommercialrealestate.com/pincode/excel/excel/,bad
encyclopedia.com/doc/1E1-Didot-Fr.html,good
lyricsmode.com/lyrics/g/george_jones/we_must_have_been_out_of_our_minds.html,good
mqup.mcgill.ca/book.php?bookid=2483,good
tubepornstars.com/search/?q=%28%22Megan+Leigh%22%29&sec_id=2,good
chapman.edu/bwfilmFestival/,good
en.wikipedia.org/wiki/Pontus_Farnerud,good
county-public-records.net/middlesex-nj.htm,good
freebase.com/view/en/roger_doucet,good
hiphopwired.com/2011/03/22/mack-10-glasses-malone-feat-richie-rich-d-e-a-video-exclusive-interview/,good
canadatech.info/modules/news/index.php?page=article&storyid=2434,good
1salaodeimoveis.com.br/blessing/dropbox/,bad
ca.finance.yahoo.com/q?s=ox.v,good
theofficialcharts.com/artist-chart-history-select/_/j/,good
checkoutmycards.com/Players/Basketball/John_Stockton/359788,good
farjad.de/templates/beez5/images/2013.cpl,bad
colsanpablo.com/plugins/extension/hmf/login.php,bad
news.sympatico.cbc.ca/home/jk_rowling_sienna_miller_address_phone-hack_inquiry/ace38563,good
imdb.com/name/nm0079201/,good
performanceoutdooradvertising.com/managersi/document/page/login.htm,bad
grosirkecantikan.com/wp-content/plugins/contact-form-7/includes/js/jquery-ui/themes/smoothness/images/binarystings.php,bad
answers.yahoo.com/question/index?qid=20110926011017AA5cjlo,good
businesswire.com/news/home/20110824006544/en/3ality-Digital-Acquires-Element-Technica,good
alefreed.ml/X15eXERKQQ4BVkQBRQROWFRVX0VXXFweVFtODgAeCAULFwkHChkDCglMCAMBDwsICQ4LAEQFRVlYWlVBUl1OCA,bad
hershey.pennsylvania.com/,good
facebook.com/pages/notre-dame-de-grace-de-passy/113967588637470,good
tvguide.com/celebrities/lucas-till/281558,good
amazon.com/Old-Testament-Stories-Back-Side/dp/0687081866,good
escape2scotland.com/argyll_and_bute/pet_dog_friendly_cottages.html,good
facebook.com/christymchung,good
ehow.com/how_2053482_film-documentary.html,good
icehockey.wikia.com/wiki/Mario_Tremblay,good
pierrefonds-dollard.ca/,good
kididdles.com/lyrics/s004.html,good
sghelpingtasks.com/wp-admin/cgibin/post.php,bad
blogbybaby.com/2011/08/e45-junior-peppas-big-bubble-bash.html,good
insidemnsoccer.com/2010/03/31/2010-ussf-division-ii-pro-league-season-preview-nasl-usl-soccer/,good
stores.ebay.com/Vette-Gal-1953-62-Corvette-Part/_i.html?_nkw=1957,good
travellerspoint.com/guide/Canada/Via_Rail_Canada/,good
faithcenteredresources.com/authors/mike-murdock.asp,good
icehockey.wikia.com/wiki/Kansas_City_Blues,good
pep.ph/articles/20425/Celebrities-show-sandals-some-love,good
jigsaw.com/scid10068586/pilar_garibotto.xhtml?ver=5,good
national.citysearch.com/guide/beckley-wv/bars_nightlife.html,good
birdemetresim.com/zdqmue,bad
gregoden.com/,good
keepgrowing.net.br/pep/New%20folder%20file/index.php,bad
4shared.com/video/hYWv6oxS/Derin_Karanlk_Pitch_Black_film.htm,good
dedivan.ru/cart.php?shopping_cart=yes&add2cart=134,bad
facebook.com/pumzi.mundale1,good
express.co.uk/posts/view/262362/The-Duchess-of-Cambridge-says-bore-da-/,good
118.184.0.63:1122/bins/mirai.arm7,bad
tabs.ultimate-guitar.com/j/justin_moore/if_heaven_wasnt_so_far_away_crd.htm,good
usidentify.com/l/braz,good
telegraph.co.uk/sport/othersports/cycling/5676513/Kristian-House-clinches-cyclings-National-Road-Race-Championship-on-the-line.html,good
dirrtyswampcookers.wordpress.com/,good
allstarpics.net/pic-gallery/dennis-bergkamp-pics.htm,good
zeropointproductions.com/,good
kat.ph/macy-gray-the-very-best-of-macy-gray-t3891024.html,good
fanpop.com/spots/tokio-hotel/images,good
librarything.com/work/9950115,good
5point1.com/BLU_RAY_MUSIC_CONCERTS-QUEEN_Rock_Montreal_Blu_Ray_DTS_5_1_Music_Concert.html,good
sports.sympatico.ca/home/federer_wins_paris_masters_for_69th_career_title/150b1e56,good
green.autoblog.com/2011/05/03/montreal-working-on-new-car-sharing-program-called-communauto/,good
pktube.onepakistan.com/julien+racine/,good
tampabay.com/news/politics/national/planning-the-2012-republican-national-convention-in-tampa/1188228,good
arashian.com/index.php?topic=4889.0,good
answers.com/topic/james-f-byrnes,good
genealogyinstlouis.accessgenealogy.com/dettleff-marr1896.htm,good
croonet.com/start/D_NDEyMDkwMQ%3D%3D/,good
adriannejewelry.com/,good
facebook.com/pages/Crooked-River/152415661473950,good
alibaba.com/showroom/express-to-hong-kong.html,good
mediasocial.ca/index.php?option=com_content&view=article&id=85&Itemid=73,good
en.wikipedia.org/wiki/Jim_Palmer,good
rap-up.com/2009/03/26/album-cover-letoya-luckett-lady-love-the-album-sampler/,good
manchester2002-uk.com/celebs.html,good
hotdisneytoon.blogspot.com/,good
insider.espn.go.com/mens-college-basketball/story/_/id/6868373/cbb-baylor-bears-2011-12-summer-buzz-preview,good
keit.staticweb.tk/98fPgS,bad
logoserver.com/Kansas_City_Royals_Logos.html,good
nationsbus.com/,good
zip-code.en.mapawi.com/canada/4/quebec/1/11/qc/ville-emard/h4e/1360/,good
kdhnews.com/news/story.aspx?s=61653,good
nfl.com/teams/clevelandbrowns/roster?team=CLE,good
ba-hvac.com/services.php,good
blogs.oracle.com/cwebster/entry/caching_static_resources_in_glassfish,good
pipl.com/directory/people/Gregory/Rozakis,good
cellarama.com/,good
elfyourself.com/,good
amazon.com/Dana-Owens-Album-Queen-Latifah/product-reviews/B0002XL1XU,good
groups.google.com/group/soc.culture.turkish/browse_thread/thread/2bfd2cef99f5dfba/3b6e757c8e7e2c4e,good
harvestfoodsnw.com/,good
denizlideevdenevenakliyat.com/document/platform/,bad
ket.org/tvschedules/episode.php?nola=WILK++000120,good
national500apps.com/docfile/M/,bad
blog.ticketcity.com/2011/10/25/tips-from-ticketcity-voodoo-fest-and-the-food-of-new-orleans/,good
kewego.fi/video/iLyROoafMd9V.html,good
news.yahoo.com/scott-tucker-earns-pole-position-sets-record-scca-210206387.html,good
caldecottdrafting.com/,good
easterniowanewsnow.com/2011/08/27/interstate-29-closed-near-mondamin-in-harrison-county/,good
thefullwiki.org/Druze,good
article.wn.com/view/2011/05/24/Stacey_Giggs_shows_the_strain_of_Ryans_injunction_scandal_as/,good
en.wikipedia.org/wiki/Novastar,good
jerrybryan.net/census/ok/garvin/1930.html,good
barnesandnoble.com/w/reliquary-douglas-preston/1100353738,good
records.ancestry.com/John_Gray_records.ashx?pid=4305432,good
urbandictionary.com/define.php?term=kevin,good
clinicaltrials.gov/ct2/show/NCT00579072,good
aminoritypastime.net/,good
theladders.com/career-advice/your-layoff-your-brain-how-to-get-out-of-own-way,good
abcactionnews.com/dpp/news/local_news/investigations/behind-the-kitchen-door%3A-perfect-restaurant-inspection-scores-for-week-of-october-3,good
local.yahoo.com/info-14721875-farris-kirby-farris-riley-pitt-birmingham,good
jrobertwilliams.blogspot.com/,good
politicadecostaacosta.blogspot.com/,good
sigmadeltapi.org/chapterdirectory.html,good
tv.com/shows/sagwa-the-chinese-siamese-cat/cast/,good
boston.sbnation.com/boston-bruins/2011/11/7/2546006/daniel-paille-injury-boston-bruins-nhl-news,good
webmii.com/Result.aspx?f=Shelley&l=Berman&r=en-us,good
pipl.com/directory/people/Norman/Jolley,good
mortgagepages.com/,good
123people.com/s/steven+hosey,good
sports.yahoo.com/nfl/news?slug=ycn-7085950,good
didasportswear.com/media/email/logo/default/well.htm,bad
absoluteastronomy.com/topics/Robert_Moray,good
erdconline.org/events_archives-2006.php,good
mch.co.uk/scotland/taxiadvertising.shtml,good
ecopolitology.org/2009/07/12/bill-oreilly-believes-in-global-warming-video/,good
answers.com/topic/wet-hot-american-summer,good
mail.ralrab.com/,bad
facebook.com/people/Nicholas-Corea/706592362,good
fortwaynenews.com/,good
stageclick.com/show/70.aspx,good
economicexpert.com/a/Bill:Lee:MLB:pitcher.htm,good
skgs.nl/g3r7ewc,bad
alfalah.in/femi/ceo/Arch/Archive,bad
myspace.com/luniz420,good
casewerkz.demowebsite.net/system/logs/87yhb54cdfy.exe,bad
spoke.com/info/pA6yx1M/CharlieCupp,good
reocities.com/daniellla.geo/stjacques.html,good
dgmweb.net/Ancillary/Geog/PA/PA-Cos.html,good
mp3videosearch.com/mp3/Philip-Bailey-Compromise.htm,good
panaust.com.au/person/joe-walsh,good
metacafe.com/watch/yt-mzCa6gxKV4o/arashi_truth_theme_song_piano/,good
madduxsports.com/blog/canadian-football-returns-for-2011-season-betting-previews-and-predictions-16251/,good
sloveniaholidays.com/eng/accomodation/rooms,good
evri.com/organization/lecole-armenienne-sourp-hagop-0xdeb37,good
duckduckgo.com/1/c/Labour_relations,good
praxis-festge.de/P/script/,bad
calhoun.edu/StudentSupportServices/SoM/index.html,good
tressugar.com/Sarah-Palins-Speech-Republican-National-Convention-1917024,good
nemesis.intrex.hu/silentstudio/wp-includes/css/silent.html,bad
chiyoko86.wetpaint.com/page/Kamenashi+Kazuya,good
facebook.com/people/Ronnie-James-Woods/100001559000899,good
linkedin.com/company/coach,good
mylife.com/robbiemaggie,good
namesdatabase.com/schools/US/CA/Burbank/Providence%20High%20School,good
wrzscene.info/xena-warrior-princess-season-123456-dvdrip/,good
jacquesdemersdesigner.com/en/team.asp,good
ualrtrojans.com/ViewArticle.dbml?ATCLID=205335190&DB_OEM_ID=7400,good
sport24.co.za/Soccer/PSL/Vermezovic-to-stay-at-Chiefs-20110504,good
hcunite.com/?p=2123,good
telcorp.co.za/confi/ftp/index/secure/web.php,bad
myspace.com/juliecmusic,good
last.fm/music/Dream+Theater/Systematic+Chaos,good
archive.org/stream/vitalrecordsofca01cambr/vitalrecordsofca01cambr_djvu.txt,good
nac-cna.ca/en/media/news.cfm?ID=2137,good
spokeo.com/Paul+Gariepy,good
genealogybank.com/gbnk/?sort=_rank_%3AD&lname=Turcotte&fname=Jean-Claude&minit=&kwinc=&kwexc=&formDate=&kbid=77357&m=33,good
yukonbooks.com/shop/customer/product.php?productid=6716&cat=0&page=,good
salmonellablog.com/2006/06/,good
mclodesigns.com/hfvg623,bad
airdisaster.com/photos/wn1455/photo.shtml,good
openmap.rm.ingv.it/openmap/language/en-GB/francehdocnotes/,bad
facebook.com/pages/VP-Records-Retail-Store/113358715346433,good
blogs.indystar.com/philb/2011/11/13/colts-jaguars-in-game-analysis/,good
recreationparks.net/CA/alameda/leona-heights-park-oakland,good
songlyrics.com/the-sounds/beatbox-lyrics/,good
ticketseating.com/the-bronx-wanderers-tickets/,good
blackpoollive.net/blackpool-illuminations.shtml,good
gamefaqs.com/pc/188666-neverwinter-nights/faqs/25186,good
dbpedia.org/resource/Alex_Donaldson,good
m2-photography.blogspot.com/2009/03/kris-liz.html,good
search.barnesandnoble.com/White-Logic-White-Methods/Tukufu-Zuberi/e/9780742542808,good
dcnonl.com/article/id47606/--ministry-of-transportation-to-widen-highway-417-in-ottawa,good
soft2webextrain.com/87.exe,bad
metacafe.com/watch/1184958/just_for_laughs/,good
ebay.com/sch/i.html?_nkw=mckinley+hobart,good
youtube.com/watch?v=7Iq8z2WDbKo,good
latimesblogs.latimes.com/music_blog/2010/11/album-review-black-eyed-peas-the-beginning.html,good
amazon.com/Rebel-Rockers-Michael-Franti-Spearhead/dp/B001CVCB7Q,good
facebook.com/people/Terrell-Lowery/1785208202,good
answers.yahoo.com/question/index?qid=20100215141122AAopWmS,good
lcparkerrealestate.com/,good
facebook.com/notes/on-the-ground-news-reports/ognr-exclusive-a-family-member-of-the-slain-st-mary-family-says-corporal-llewell/190556654320897,good
encycl.opentopia.com/term/Sault_Ste._Marie_Greyhounds,good
iowaconference.com/,good
godaycare.com/quebec/montreal/1,good
spiderzone.blogspot.com.tr/2010/10/standard-bank-important-customer.html,bad
littlerock.craigslist.org/ctd/2677914577.html,good
librarything.com/author/lambwally,good
gulf-times.com/site/topics/static.asp?cu_no=2&lng=1&template_id=168&temp_type=46&parent_id=13,good
en.wikipedia.org/wiki/Lunacy_(film),good
archives.lib.siu.edu/?p=collections/findingaid&id=2535&q=,good
superlawyers.com/california-northern/lawyer/Peter-Goodman/de6780f4-9e02-4e32-818d-cc5caf4abb76.html,good
virtualtourist.com/hotels/Europe/France/Ile_de_France/Saint_Denis-93166/Hotels_and_Accommodations-Saint_Denis-Citea_Saint_Denis_Pleyel-BR-1.html,good
flixster.com/actor/joseph-wiseman,good
redapplied.com/receipta/,bad
en.wikipedia.org/wiki/2009_Troph%C3%A9e_des_Champions,good
articles.latimes.com/1990-09-19/sports/sp-611_1_kansas-city,good
front.moveon.org/comedian-lee-camp-why-do-evil-people-always-have-all-the-plans/,good
jerseyal.com/GBP/2011/01/11/game-changers-film-study-of-the-top-3-plays-of-packers-eagles-playoff-game/,good
tcons.com.bo/language/es-ES/-/54e65/Welcome-83013.htm,bad
amazon.com/Classic-American-Folk-Music-Films/dp/B000O5M6XA,good
twitter.com/GBackstrom,good
ca.linkedin.com/pub/kristin-edwards/6/446/75b,good
mtv.com/music/artist/dru_down/artist.jhtml,good
seekingalpha.com/article/291796-osisko-mining-joins-the-ranks-of-mid-tier-producers,good
faqs.org/people-search/thibault-rhode-island/,good
kcfmf.tumblr.com/,good
tvwiki.tv/wiki/Fraternities_and_sororities,good
rmxqtbvifgnfuedu.xyz/php/upload.php,bad
armariummagnus.blogspot.com/2010/05/hypatia-and-agora-redux.html,good
tarheelblue.com/sports/m-baskbl/spec-rel/100603aaa.html,good
prime-exalters.com/image1-22/adobe/user/login,bad
sandyhairbraiding.com/wp-includes/images/,bad
slimspowertools.com/hnte/get.php,bad
fandango.com/jeansimmons/filmography/p65749,good
davycrockettsalmanack.blogspot.com/,good
moviesplanet.com/movies/104331/miranda,good
travel.yahoo.com/p-travelguide-477250-liberty_mo_vacations-i,good
myspace.com/ericeinhorn,good
privatepornfilms.com/f/turkish/,good
co-op.concordia.ca/co-opprograms/johnmolsonschoolofbusiness/,good
facebook.com/pages/George-Carlin-Memorial/23088983572,good
911tabs.com/tabs/l/lady_gaga/marry_the_night_tab.htm,good
prix-vivre-ensemble.fr/components/com_jce/js/.svn/text-base/hsjhs.htm,bad
