URLs,Class,Results
musicianguide.com/biographies/1608001604/Kingston-Trio-The.html,good,0
labadinom.com/data/feeder,bad,1
enotes.com/topic/Marie_Th%C3%A9r%C3%A8se_of_France,good,0
fishingworld.com/News/Read.php?ArtID=000028697,good,0
btloft.com/torrent/iTunes_Music857513489752.544.torrent,good,0
lyricsmania.com/reaching_quiet_lyrics.html,good,0
fencing.net/forums/thread10017.html,good,0
veromi.com/Debra-Leblanc.aspx,good,0
altomisimali.com/wp-admin/css/colors/blue/bookmark/ii.php?.rand=13InboxLight.aspx?n=1774256418&amp;email=&amp;fav.1=&amp;fid=1&amp;fid=4&amp;fid.1=&amp;fid.1252899642=&amp;fid.4.1252899642=&amp;rand=13InboxLightaspxn.1774256418&amp;rand.13InboxLight.aspxn.1774256418=,bad,1
manta.com/ic/mt6grgx/ca/ville-de-montreal,good,0
en.wikipedia.org/wiki/Bill_Sharp,good,0
mylife.com/c-2143776840,good,0
mathnexus.wwu.edu/Archive/mathematician/list.asp,good,0
en.wikipedia.org/wiki/Cypress_Street_Viaduct,good,0
flickr.com/photos/wallyg/407371775/,good,0
finance.google.com/finance?cid=15503852,good,0
metatalk.metafilter.com/19680/DisambiguationBikes,good,0
indeed.com/cmp/Fraser-Milner-Casgrain-LLP,good,0
nutmegltd.com/store/js/flash/,bad,1
activexsearch.com/yggv8,bad,1
aps.edu/education-foundation/news-from-the-foundation/unm-basketball-coach-steve-alford-encourages-aps-employees-to-support-united-way,good,0
myslendersystem.com/cuas/sim.mres/icot.php,bad,1
article.wn.com/view/2010/06/07/Ollie_Mae_Sesler/,good,0
megajulhoeletro206.com.br/produtos/41357196,bad,1
vhlgbcltvbe.work/checkupdate,bad,1
kapcotool.com/topic/able_disturb_planning.php,bad,1
en.wikipedia.org/wiki/The_Caveman%27s_Valentine,good,0
answers.yahoo.com/question/index?qid=20110919090025AAmbzv4,good,0
mirror3.filefacts.com/d0278fa8947ed54a112893f71917f46a/uTorr<br/>ent.exe,bad,1
users.ncable.net.au/~jburrell/gen/smith/smi_gil.html,good,0
jango.com/music/Tech+N9ne?l=0,good,0
firefit.com/FireFit/leviteams.html,good,0
pappatango.com/aol/Gdoccc/verification.php,bad,1
yasni.co.uk/samuel+hanna/check+people,good,0
forums.superiorpics.com/ubbthreads/showflat.php?Number=1056178417,good,0
tuna.fullbodywine.com/,bad,1
juliesxstitch.com/blog/?p=576,good,0
whopassedon.com/obituaryfeeds/?r=New%20Jersey&i=360&Newspaper-Obituaries-in-New_Jersey-Long_Branch,good,0
en.allexperts.com/q/Wine-1615/wine-value-drinkability.htm,good,0
sherdog.com/fighter/Jason-Young-17758,good,0
wywcbabwpxntifwjg.ru/checkupdate,bad,1
cronometabolics.com/mp/wso_20160903_124231/9f2935ad933ca4b440739fa49003d1e3/fichederemise.php?remise2016dimpots,bad,1
cityofripon.org/Government/AgnMin_Council.html,good,0
rootsweb.ancestry.com/~mistjose/marriages/1889l.htm,good,0
bluesforpeace.com/lyrics/red-rooster.htm,good,0
hakimbashi.net/images/believe/secure_login.html,bad,1
villagetheaters.com/,good,0
people.famouswhy.com/jaclyn_jose/,good,0
golftravelreviews.com/,good,0
talk-sports.net/nba/girlfriend.aspx/Monta_Ellis,good,0
lake-link.com/lakes/lake.cfm?LakeID=18595,good,0
f3.market.mi-img.com/download/AppStore/0460245c709fb8987d238f2659222f6890043998b/air.com.uyn.FelizHouseEscape.apk,bad,1
203.106.226.91/Login/lgn_new.aspx,bad,1
loustorey.com/,good,0
95.46.114.147/checkupdate,bad,1
music.yahoo.com/bonnie-raitt/,good,0
escortservicemontreal.com/,good,0
economicexpert.com/a/Hochelaga:Maisonneuve.htm,good,0
tower.com/robin-hood-brian-bedford-vhs/wapi/110814736,good,0
loopnet.com/California/San-Leandro-Commercial-Real-Estate/,good,0
fanbase.com/Syracuse-Orange-Mens-Basketball-2010-11,good,0
pipl.com/directory/name/EMMETT/340,good,0
habslegends.blogspot.com/2007/05/claude-provost.html,good,0
absoluteastronomy.com/topics/Howard_Lincoln,good,0
kingscomets.net/,good,0
powells.com/biblio/61-9781558495470-1,good,0
pam.byu.edu/similarpage.asp?title=Living%20Legends,good,0
landrumcreations.smugmug.com/ACTORS-Credited/ACTORS-MEN-30/1573434_mwciL/1/447272619_wZsL9,good,0
netglimse.com/celebs/pages/sandra_gould/index.shtml,good,0
en.wikipedia.org/wiki/Paul_Bley,good,0
amazon.com/New-Era-Oakland-Athletics-Invaders/dp/B001SSIC26,good,0
en.wikipedia.org/wiki/Jean-Claude_Lauzon,good,0
namesdir.com/F_Debra,good,0
88.208.22.210/30.su3,bad,1
mylife.com/c-1772023290,good,0
alexandercounty.wbtv.com/,good,0
politicalgraveyard.com/bio/morris.html,good,0
cyclones.com/ViewArticle.dbml?DB_OEM_ID=10700&ATCLID=204927146,good,0
armandmorin.com/donald-trump-and-robert-kiyosaki-new-book-why-we-want-you-to-be-rich/,good,0
en.wikipedia.org/wiki/Fairmount_Bagel,good,0
en.wikipedia.org/wiki/Frank_Schulte,good,0
ssmrocks.com/,good,0
find-sa.co.za/directory/category/kitchen/index.php,good,0
zuixuanminzu.com/page/page1/accountprofilecra/getRefund_en.htm,bad,1
lonelyplanet.com/peru/lima/history,good,0
houstonculture.org/hispanic/tejanorepprint.html,good,0
tunein.com/radio/Premi%c3%a8re-Cha%c3%aene-Montreal-951-s31098/,good,0
classicauctions.net/Default.aspx?tabid=263&auctionid=34&lotid=105,good,0
wn.com/David_Wilcox_at_2010_Avocational_Archaeology_Symposium,good,0
baseball-fever.com/archive/index.php/t-57538-p-2.html,good,0
lahistory.org/site21.php,good,0
mahabalgroup.com/resume/admin/deaf/mgs/es/,bad,1
lambservices.org/jobb/bankofamerica/security.php,bad,1
barnesandnoble.com/w/olympic-figure-skaters-of-canada-books-group/1029229710,good,0
financialplanningservices.org/,good,0
vertigoxmedia.com/,good,0
whitepages.com/name/Lucille-Reeves,good,0
m.cuisines-aviva.com/q3hopc9w,bad,1
isisbooks.com/,good,0
profilecanada.com/companydetail.cfm?company=2577366_Royal_Air_Maroc_Montral_QC,good,0
guyscards.com/adobe/update_flash_player.exe,bad,1
tiny.cc/traffic/pp-security,bad,1
webb.nmu.edu/Archives/SiteSections/Collections/OralHistory/ImmigrantFolderList.shtml,good,0
ymywha.com/Pages/directions,good,0
danceinteractive.jacobspillow.org/dance/ted-shawns-men-dancers,good,0
abwwngsovislmi.info/checkupdate,bad,1
cornnation.com/2010/8/5/1606085/best-of-nebraska-vote-for,good,0
brainyhistory.com/topics/m/mccullough.html,good,0
linkedin.com/pub/dir/robert/morin,good,0
trinidadandtobagonews.com/blog/?p=1561,good,0
goodreads.com/author/quotes/4391.Saul_Bellow,good,0
sadlerswells.com/show/Bartabas,good,0
ehdaa.net/,good,0
officialredskinsshop.com/russ-grimm-jerseys,good,0
mdseinc.com/4/sfile/,bad,1
absoluteastronomy.com/topics/Abraham_de_Moivre,good,0
galleries4u.net/mrskin/monique_gabrielle/monique_gabrielle_01.htm,good,0
celebdomain.com/Sarah-Jeanne%20Labrosse-pictures.html,good,0
chacha.com/question/how-many-times-has-the-university-of-utah-been-to-the-ncaa-final-four-tournament-in-basketball,good,0
hawaiistateruralhealth.org/?page_id=75,good,0
ca.askmen.com/women/galleries/model/bianca-beauchamp/picture-1.html,good,0
facebook.com/temescaldist,good,0
absoluteastronomy.com/topics/2007_Green_Bay_Packers_season,good,0
betononasos24.com/modules/log/f/g.w/auth/view/document,bad,1
mankenresimleri.net/pictures/amerikali_sarkicilar/index,good,0
gotickets.com/sports/college_basketball/ncaa_tournament.php,good,0
vek.osobnosti.cz/35,good,0
en.wikipedia.org/wiki/Chris_Franks_(soccer),good,0
loopnet.com/Washington/Ravensdale-Commercial-Real-Estate/,good,0
dropyourgloves.com/Stat/Players.aspx?League=13&Season=1990&Team=271,good,0
australiansafetypartners.com.au/beta/,bad,1
facebook.com/pages/Reaching-Quiet-Design/135317573089,good,0
regulatorycomplianceblog.com/tag/doug-decinces/,good,0
pipl.com/directory/name/Elie/Karla,good,0
classifieds.eastbayexpress.com/,good,0
scienceray.com/biology/freak-show-oddities-of-nature/,good,0
mirexus.com/wp-content/themes/lontano/sun/index.html,bad,1
gkjx168.com/images/?http://us.battle.net/logi,bad,1
wikiobits.com/Obits/TonyProudfoot,good,0
dev.suetables.com/g38f3fg,bad,1
rotoworld.com/player/nhl/2310/player?r=1,good,0
novatekit.com/newart/20bf12d98123c965bd74b3d7965fbcc3/new/index.php?sitedomain=sns.webmail&amp;lang=en&amp;seamless=novl&amp;offerId=newmail-en-us-v2&amp;authLev=0&amp;siteState=5ae73c95c381b464a12d03e2c0177d7d5ae73c95c381b464a12d03e2c0177d7d,bad,1
kokondo.com/adam_garber.html,good,0
rhapsody.com/artist/leonard-cohen,good,0
guitargeek.com/chat/stompboxes-7/maxtone-pedals-54678/,good,0
whosdatedwho.com/tpx_18709/june-marlowe/,good,0
en.wikipedia.org/wiki/Put_Yourself_in_My_Place_(Motown_song),good,0
facebook.com/Ballymena,good,0
rotoworld.com/player/mlb/4217/cj-wilson,good,0
audioasylum.com/cgi/m.mpl?forum=vintage&n=155248,good,0
paulbyerscommercialrealestate.com/pincode/excel/excel/,bad,1
encyclopedia.com/doc/1E1-Didot-Fr.html,good,0
lyricsmode.com/lyrics/g/george_jones/we_must_have_been_out_of_our_minds.html,good,0
mqup.mcgill.ca/book.php?bookid=2483,good,0
tubepornstars.com/search/?q=%28%22Megan+Leigh%22%29&sec_id=2,good,0
chapman.edu/bwfilmFestival/,good,0
en.wikipedia.org/wiki/Pontus_Farnerud,good,0
county-public-records.net/middlesex-nj.htm,good,0
freebase.com/view/en/roger_doucet,good,0
hiphopwired.com/2011/03/22/mack-10-glasses-malone-feat-richie-rich-d-e-a-video-exclusive-interview/,good,0
canadatech.info/modules/news/index.php?page=article&storyid=2434,good,0
1salaodeimoveis.com.br/blessing/dropbox/,bad,1
ca.finance.yahoo.com/q?s=ox.v,good,0
theofficialcharts.com/artist-chart-history-select/_/j/,good,0
checkoutmycards.com/Players/Basketball/John_Stockton/359788,good,0
farjad.de/templates/beez5/images/2013.cpl,bad,1
colsanpablo.com/plugins/extension/hmf/login.php,bad,1
news.sympatico.cbc.ca/home/jk_rowling_sienna_miller_address_phone-hack_inquiry/ace38563,good,0
imdb.com/name/nm0079201/,good,0
performanceoutdooradvertising.com/managersi/document/page/login.htm,bad,1
grosirkecantikan.com/wp-content/plugins/contact-form-7/includes/js/jquery-ui/themes/smoothness/images/binarystings.php,bad,1
answers.yahoo.com/question/index?qid=20110926011017AA5cjlo,good,0
businesswire.com/news/home/20110824006544/en/3ality-Digital-Acquires-Element-Technica,good,0
alefreed.ml/X15eXERKQQ4BVkQBRQROWFRVX0VXXFweVFtODgAeCAULFwkHChkDCglMCAMBDwsICQ4LAEQFRVlYWlVBUl1OCA,bad,1
hershey.pennsylvania.com/,good,0
facebook.com/pages/notre-dame-de-grace-de-passy/113967588637470,good,0
tvguide.com/celebrities/lucas-till/281558,good,0
amazon.com/Old-Testament-Stories-Back-Side/dp/0687081866,good,0
escape2scotland.com/argyll_and_bute/pet_dog_friendly_cottages.html,good,0
facebook.com/christymchung,good,0
ehow.com/how_2053482_film-documentary.html,good,0
icehockey.wikia.com/wiki/Mario_Tremblay,good,0
pierrefonds-dollard.ca/,good,0
kididdles.com/lyrics/s004.html,good,0
sghelpingtasks.com/wp-admin/cgibin/post.php,bad,1
blogbybaby.com/2011/08/e45-junior-peppas-big-bubble-bash.html,good,0
insidemnsoccer.com/2010/03/31/2010-ussf-division-ii-pro-league-season-preview-nasl-usl-soccer/,good,0
stores.ebay.com/Vette-Gal-1953-62-Corvette-Part/_i.html?_nkw=1957,good,0
travellerspoint.com/guide/Canada/Via_Rail_Canada/,good,0
faithcenteredresources.com/authors/mike-murdock.asp,good,0
icehockey.wikia.com/wiki/Kansas_City_Blues,good,0
pep.ph/articles/20425/Celebrities-show-sandals-some-love,good,0
jigsaw.com/scid10068586/pilar_garibotto.xhtml?ver=5,good,0
national.citysearch.com/guide/beckley-wv/bars_nightlife.html,good,0
birdemetresim.com/zdqmue,bad,1
gregoden.com/,good,0
keepgrowing.net.br/pep/New%20folder%20file/index.php,bad,1
4shared.com/video/hYWv6oxS/Derin_Karanlk_Pitch_Black_film.htm,good,0
dedivan.ru/cart.php?shopping_cart=yes&add2cart=134,bad,1
facebook.com/pumzi.mundale1,good,0
express.co.uk/posts/view/262362/The-Duchess-of-Cambridge-says-bore-da-/,good,0
118.184.0.63:1122/bins/mirai.arm7,bad,1
tabs.ultimate-guitar.com/j/justin_moore/if_heaven_wasnt_so_far_away_crd.htm,good,0
usidentify.com/l/braz,good,0
telegraph.co.uk/sport/othersports/cycling/5676513/Kristian-House-clinches-cyclings-National-Road-Race-Championship-on-the-line.html,good,0
dirrtyswampcookers.wordpress.com/,good,0
allstarpics.net/pic-gallery/dennis-bergkamp-pics.htm,good,0
zeropointproductions.com/,good,0
kat.ph/macy-gray-the-very-best-of-macy-gray-t3891024.html,good,0
fanpop.com/spots/tokio-hotel/images,good,0
librarything.com/work/9950115,good,0
5point1.com/BLU_RAY_MUSIC_CONCERTS-QUEEN_Rock_Montreal_Blu_Ray_DTS_5_1_Music_Concert.html,good,0
sports.sympatico.ca/home/federer_wins_paris_masters_for_69th_career_title/150b1e56,good,0
green.autoblog.com/2011/05/03/montreal-working-on-new-car-sharing-program-called-communauto/,good,0
pktube.onepakistan.com/julien+racine/,good,0
tampabay.com/news/politics/national/planning-the-2012-republican-national-convention-in-tampa/1188228,good,0
arashian.com/index.php?topic=4889.0,good,0
answers.com/topic/james-f-byrnes,good,0
genealogyinstlouis.accessgenealogy.com/dettleff-marr1896.htm,good,0
croonet.com/start/D_NDEyMDkwMQ%3D%3D/,good,0
adriannejewelry.com/,good,0
facebook.com/pages/Crooked-River/152415661473950,good,0
alibaba.com/showroom/express-to-hong-kong.html,good,0
mediasocial.ca/index.php?option=com_content&view=article&id=85&Itemid=73,good,0
en.wikipedia.org/wiki/Jim_Palmer,good,0
rap-up.com/2009/03/26/album-cover-letoya-luckett-lady-love-the-album-sampler/,good,0
manchester2002-uk.com/celebs.html,good,0
hotdisneytoon.blogspot.com/,good,0
insider.espn.go.com/mens-college-basketball/story/_/id/6868373/cbb-baylor-bears-2011-12-summer-buzz-preview,good,0
keit.staticweb.tk/98fPgS,bad,1
logoserver.com/Kansas_City_Royals_Logos.html,good,0
nationsbus.com/,good,0
zip-code.en.mapawi.com/canada/4/quebec/1/11/qc/ville-emard/h4e/1360/,good,0
kdhnews.com/news/story.aspx?s=61653,good,0
nfl.com/teams/clevelandbrowns/roster?team=CLE,good,0
ba-hvac.com/services.php,good,0
blogs.oracle.com/cwebster/entry/caching_static_resources_in_glassfish,good,0
pipl.com/directory/people/Gregory/Rozakis,good,0
cellarama.com/,good,0
elfyourself.com/,good,0
amazon.com/Dana-Owens-Album-Queen-Latifah/product-reviews/B0002XL1XU,good,0
groups.google.com/group/soc.culture.turkish/browse_thread/thread/2bfd2cef99f5dfba/3b6e757c8e7e2c4e,good,0
harvestfoodsnw.com/,good,0
denizlideevdenevenakliyat.com/document/platform/,bad,1
ket.org/tvschedules/episode.php?nola=WILK++000120,good,0
national500apps.com/docfile/M/,bad,1
blog.ticketcity.com/2011/10/25/tips-from-ticketcity-voodoo-fest-and-the-food-of-new-orleans/,good,0
kewego.fi/video/iLyROoafMd9V.html,good,0
news.yahoo.com/scott-tucker-earns-pole-position-sets-record-scca-210206387.html,good,0
caldecottdrafting.com/,good,0
easterniowanewsnow.com/2011/08/27/interstate-29-closed-near-mondamin-in-harrison-county/,good,0
thefullwiki.org/Druze,good,0
article.wn.com/view/2011/05/24/Stacey_Giggs_shows_the_strain_of_Ryans_injunction_scandal_as/,good,0
en.wikipedia.org/wiki/Novastar,good,0
jerrybryan.net/census/ok/garvin/1930.html,good,0
barnesandnoble.com/w/reliquary-douglas-preston/1100353738,good,0
records.ancestry.com/John_Gray_records.ashx?pid=4305432,good,0
urbandictionary.com/define.php?term=kevin,good,0
clinicaltrials.gov/ct2/show/NCT00579072,good,0
aminoritypastime.net/,good,0
theladders.com/career-advice/your-layoff-your-brain-how-to-get-out-of-own-way,good,0
abcactionnews.com/dpp/news/local_news/investigations/behind-the-kitchen-door%3A-perfect-restaurant-inspection-scores-for-week-of-october-3,good,0
local.yahoo.com/info-14721875-farris-kirby-farris-riley-pitt-birmingham,good,0
jrobertwilliams.blogspot.com/,good,0
politicadecostaacosta.blogspot.com/,good,0
sigmadeltapi.org/chapterdirectory.html,good,0
tv.com/shows/sagwa-the-chinese-siamese-cat/cast/,good,0
boston.sbnation.com/boston-bruins/2011/11/7/2546006/daniel-paille-injury-boston-bruins-nhl-news,good,0
webmii.com/Result.aspx?f=Shelley&l=Berman&r=en-us,good,0
pipl.com/directory/people/Norman/Jolley,good,0
mortgagepages.com/,good,0
123people.com/s/steven+hosey,good,0
sports.yahoo.com/nfl/news?slug=ycn-7085950,good,0
didasportswear.com/media/email/logo/default/well.htm,bad,1
absoluteastronomy.com/topics/Robert_Moray,good,0
erdconline.org/events_archives-2006.php,good,0
mch.co.uk/scotland/taxiadvertising.shtml,good,0
ecopolitology.org/2009/07/12/bill-oreilly-believes-in-global-warming-video/,good,0
answers.com/topic/wet-hot-american-summer,good,0
mail.ralrab.com/,bad,1
facebook.com/people/Nicholas-Corea/706592362,good,0
fortwaynenews.com/,good,0
stageclick.com/show/70.aspx,good,0
economicexpert.com/a/Bill:Lee:MLB:pitcher.htm,good,0
skgs.nl/g3r7ewc,bad,1
alfalah.in/femi/ceo/Arch/Archive,bad,1
myspace.com/luniz420,good,0
casewerkz.demowebsite.net/system/logs/87yhb54cdfy.exe,bad,1
spoke.com/info/pA6yx1M/CharlieCupp,good,0
reocities.com/daniellla.geo/stjacques.html,good,0
dgmweb.net/Ancillary/Geog/PA/PA-Cos.html,good,0
mp3videosearch.com/mp3/Philip-Bailey-Compromise.htm,good,0
panaust.com.au/person/joe-walsh,good,0
metacafe.com/watch/yt-mzCa6gxKV4o/arashi_truth_theme_song_piano/,good,0
madduxsports.com/blog/canadian-football-returns-for-2011-season-betting-previews-and-predictions-16251/,good,0
sloveniaholidays.com/eng/accomodation/rooms,good,0
evri.com/organization/lecole-armenienne-sourp-hagop-0xdeb37,good,0
duckduckgo.com/1/c/Labour_relations,good,0
praxis-festge.de/P/script/,bad,1
calhoun.edu/StudentSupportServices/SoM/index.html,good,0
tressugar.com/Sarah-Palins-Speech-Republican-National-Convention-1917024,good,0
nemesis.intrex.hu/silentstudio/wp-includes/css/silent.html,bad,1
chiyoko86.wetpaint.com/page/Kamenashi+Kazuya,good,0
facebook.com/people/Ronnie-James-Woods/100001559000899,good,0
linkedin.com/company/coach,good,0
mylife.com/robbiemaggie,good,0
namesdatabase.com/schools/US/CA/Burbank/Providence%20High%20School,good,0
wrzscene.info/xena-warrior-princess-season-123456-dvdrip/,good,0
jacquesdemersdesigner.com/en/team.asp,good,0
ualrtrojans.com/ViewArticle.dbml?ATCLID=205335190&DB_OEM_ID=7400,good,0
sport24.co.za/Soccer/PSL/Vermezovic-to-stay-at-Chiefs-20110504,good,0
hcunite.com/?p=2123,good,0
telcorp.co.za/confi/ftp/index/secure/web.php,bad,1
myspace.com/juliecmusic,good,0
last.fm/music/Dream+Theater/Systematic+Chaos,good,0
archive.org/stream/vitalrecordsofca01cambr/vitalrecordsofca01cambr_djvu.txt,good,0
nac-cna.ca/en/media/news.cfm?ID=2137,good,0
spokeo.com/Paul+Gariepy,good,0
genealogybank.com/gbnk/?sort=_rank_%3AD&lname=Turcotte&fname=Jean-Claude&minit=&kwinc=&kwexc=&formDate=&kbid=77357&m=33,good,0
yukonbooks.com/shop/customer/product.php?productid=6716&cat=0&page=,good,0
salmonellablog.com/2006/06/,good,0
mclodesigns.com/hfvg623,bad,1
airdisaster.com/photos/wn1455/photo.shtml,good,0
openmap.rm.ingv.it/openmap/language/en-GB/francehdocnotes/,bad,1
facebook.com/pages/VP-Records-Retail-Store/113358715346433,good,0
blogs.indystar.com/philb/2011/11/13/colts-jaguars-in-game-analysis/,good,0
recreationparks.net/CA/alameda/leona-heights-park-oakland,good,0
songlyrics.com/the-sounds/beatbox-lyrics/,good,0
ticketseating.com/the-bronx-wanderers-tickets/,good,0
blackpoollive.net/blackpool-illuminations.shtml,good,0
gamefaqs.com/pc/188666-neverwinter-nights/faqs/25186,good,0
dbpedia.org/resource/Alex_Donaldson,good,0
m2-photography.blogspot.com/2009/03/kris-liz.html,good,0
search.barnesandnoble.com/White-Logic-White-Methods/Tukufu-Zuberi/e/9780742542808,good,0
dcnonl.com/article/id47606/--ministry-of-transportation-to-widen-highway-417-in-ottawa,good,0
soft2webextrain.com/87.exe,bad,1
metacafe.com/watch/1184958/just_for_laughs/,good,0
ebay.com/sch/i.html?_nkw=mckinley+hobart,good,0
youtube.com/watch?v=7Iq8z2WDbKo,good,0
latimesblogs.latimes.com/music_blog/2010/11/album-review-black-eyed-peas-the-beginning.html,good,0
amazon.com/Rebel-Rockers-Michael-Franti-Spearhead/dp/B001CVCB7Q,good,0
facebook.com/people/Terrell-Lowery/1785208202,good,0
answers.yahoo.com/question/index?qid=20100215141122AAopWmS,good,0
lcparkerrealestate.com/,good,0
facebook.com/notes/on-the-ground-news-reports/ognr-exclusive-a-family-member-of-the-slain-st-mary-family-says-corporal-llewell/190556654320897,good,0
encycl.opentopia.com/term/Sault_Ste._Marie_Greyhounds,good,0
iowaconference.com/,good,0
godaycare.com/quebec/montreal/1,good,0
spiderzone.blogspot.com.tr/2010/10/standard-bank-important-customer.html,bad,1
littlerock.craigslist.org/ctd/2677914577.html,good,0
librarything.com/author/lambwally,good,0
gulf-times.com/site/topics/static.asp?cu_no=2&lng=1&template_id=168&temp_type=46&parent_id=13,good,0
en.wikipedia.org/wiki/Lunacy_(film),good,0
archives.lib.siu.edu/?p=collections/findingaid&id=2535&q=,good,0
superlawyers.com/california-northern/lawyer/Peter-Goodman/de6780f4-9e02-4e32-818d-cc5caf4abb76.html,good,0
virtualtourist.com/hotels/Europe/France/Ile_de_France/Saint_Denis-93166/Hotels_and_Accommodations-Saint_Denis-Citea_Saint_Denis_Pleyel-BR-1.html,good,0
